,farm_season_id,programme_year,farm_season_field_id,farm_season_field_name,has_cover_crops,irrigated,organic_matter,soil_ph,declared_tillage_name,field_permament_crop,crop_name,yield,em_ghg_total
0,1208,1,16515,Champ 0,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
1,1208,1,16516,SB,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.18942
2,1208,1,16517,Champ 2,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
3,1208,1,16518,POMP,False,True,1.7,6.4,conventional till,False,Durum winter wheat,5.3,2.06832
4,1208,1,16519,PIV1,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.15803
5,1208,1,16520,arrondi PIV2,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.15802
6,1208,1,16521,pomp,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.17587
7,1208,1,16522,PIV2,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.1682
9,1208,1,16523,BOUL,False,True,1.7,7.9,reduced till,False,Winter barley 6 rows,7.1,0.93574
10,1208,1,16524,Champ 9,False,False,1.2,6.4,reduced till,True,Permanent pasture,0.0,
12,1208,1,16525,Trame,False,True,1.7,6.4,reduced till,False,Sunflower,2.7,0.12524
13,1208,1,16526,TRAM,True,True,1.7,5.0,reduced till,False,Grain corn,12.6,1.12696
14,1208,1,16527,Sb,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.1682
15,1208,1,16528,arrondi PIV1,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.15803
17,1208,1,16529,tram,False,True,1.7,6.4,reduced till,False,Winter barley 6 rows,7.1,1.12964
18,1208,1,16530,Champ 15,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
19,1208,1,16531,PTU,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.12843
20,1208,1,16532,Champ 17,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
21,1208,1,16533,ptu,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.19619
22,1208,1,16535,Champ 20,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
23,1208,1,16536,PH3,True,True,1.7,7.9,reduced till,False,Grain corn,12.6,1.04001
24,1208,1,16537,Champ 22,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
25,1208,1,16538,PH4,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.1682
26,1208,1,16539,PH5,False,True,1.7,6.4,conventional till,False,Durum winter wheat,5.3,2.15566
27,1208,1,16540,Champ 25,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
